slope,intercept,rvalue,pvalue,stderr,hp_alt,orbit,count
0.0248191453558,-2.85783760009,0.970742136409,0.0,0.000219121160593,124.137278187,713,6
0.0242937554853,-2.78347206994,0.970611056602,0.0,0.000198585690793,123.760841467,714,7
0.0238608231444,-2.69222024242,0.959213904766,0.0,0.000216491434406,122.182029349,715,8
0.0242270167014,-2.75973915118,0.960841288611,0.0,0.000202454679043,123.122163131,716,9
0.0236802448999,-2.65943846948,0.953035843934,0.0,0.000206575998903,121.729400729,717,10
0.0239461314557,-2.70577801854,0.953668570433,0.0,0.00019750542286,122.312932896,718,11
0.0239300411185,-2.71075388059,0.951142861179,0.0,0.000202603794354,122.603108677,719,11
0.0240732629152,-2.74752700812,0.947189015237,0.0,0.000212139390045,123.401242694,720,11
0.0244553507331,-2.82350653926,0.949571958044,0.0,0.00020962098233,124.580102074,721,11
0.0241822967101,-2.76183625053,0.945281281522,0.0,0.000216150790637,123.436571705,722,11
0.0235882048318,-2.66651640317,0.941746125909,0.0,0.000217652555903,122.504445552,723,11
0.0236998928835,-2.68654979298,0.942084546047,0.0,0.000217480114047,122.77242596,724,11
0.0239105154536,-2.72191047622,0.942709874674,0.0,0.00021789841518,123.169825981,725,11
0.0234794508067,-2.67286602318,0.946308199901,0.0,0.00020633974398,123.342304653,726,11
0.0240610331562,-2.75005077238,0.936397322093,0.0,0.000231753396828,123.568855268,727,11
0.0242482981098,-2.79781219652,0.943785953743,0.0,0.000218124674176,124.584238207,728,11
0.0244747769068,-2.84649939925,0.940176757125,0.0,0.000227554783248,125.420671341,729,11
0.0245933281683,-2.85286113629,0.938558297623,0.0,0.000231955839577,125.07476282,730,11
0.0249725935334,-2.90449686296,0.93933205748,0.0,0.000233822133437,125.242915202,731,11
0.02472402416,-2.84967008745,0.937545052637,0.0,0.000235141354116,124.284526616,732,11
0.02486610175,-2.87982079258,0.942906348735,0.0,0.000225065556932,124.786923784,733,11
0.0252496195541,-2.95029501999,0.948118233906,0.0,0.000216877694449,125.682629178,734,11
0.0249780092705,-2.91024920598,0.946408865652,0.0,0.000218276817226,125.446056304,735,11
0.0253437402166,-2.96122324347,0.948559084782,0.0,0.00021647010851,125.647073698,736,11
0.0259570866464,-3.05037714931,0.954311084307,0.0,0.000207924935197,126.112793212,737,11
0.0254519079264,-2.99620636584,0.95896427381,0.0,0.000192445824421,126.487567315,738,11
0.0260146586929,-3.09115942529,0.955153580783,0.0,0.000206115975414,127.401363044,739,11
0.0258862688638,-3.06664257467,0.958659276506,0.0,0.000196246800232,127.086145296,740,11
0.0265379722491,-3.17553728791,0.962548706866,0.0,0.000190905119122,128.068595721,741,11
0.025765481437,-3.04691682797,0.959481889412,0.0,0.000193126784588,126.916331343,742,11
0.0258448330296,-3.07427730333,0.962881360211,0.0,0.000193979975173,127.585303061,743,10
0.026060986455,-3.11878400883,0.963672578459,0.0,0.000203806651694,128.234883431,744,9
0.0261172244064,-3.1308895359,0.961302839647,0.0,0.000223950525575,128.422263983,745,8
0.0265950599955,-3.1994421347,0.960405102382,0.0,0.00024682648473,128.692534877,746,7
0.0264446138168,-3.18306784497,0.955406396045,0.0,0.000282514769935,128.805488327,747,6
0.02659720761,-3.23074684009,0.956932423072,0.0,0.000305414882383,129.859135667,748,5
